,clean_reviews,class,stars
27,"Hay un problema (parece una faltante) con el recorrido del 145, que no figura al hacer clic en el ícono. Cuando debería aparecer la línea roja con el recorrido, no aparece nada. Hasta donde vi, sucede solo con el 145, las demás líneas que consulto salen todas bien! ✊🏾🏹🌕🔥",2,4
28,"Cada vez peor! Últimamente cuando pongo una parada dice sin líneas próximas y lo pruebo paradas x las que voy a para en el bus y ni en el que voy lo marca,si no me muestras siempre buses en tiempo real wsl no tiene ningún sentido la app",0,1
29,"Plantie mi problema con la aplicación y me dieron la solución enseguida, volvío a la normalidad, es una aplicación de uso diario todo el día, gracias STM 😎!",2,5
30,"Le diera 5 estrellas, pero es que generalmente no funcióna, y no dice cuándo pasan los omnibus en ninguna parada..",1,3
31,"Me funcióna varios meses bárbara. Últimamente no me coincidían los horarios con el bus, pasaba antes, o ni pasaba. La eliminé descargue otra vez y ahora no me funcióna la ubicación, tengo el GPS activo pero no funcióna. Al menos los horarios coinciden más que antes.",0,2
32,No me aparecen las linas de la empresa come en el mapa. Acabo de perder mi omnibus porque no me aparecio en el mapa. Y se adelanto 10 min,0,2
33,La aplicación no es mala lo único es que las compañías no respetan los horarios pasan a la hora que quieren o no pasan yo que salgo tarde de trabajar tengo que estar hasta 1 hora en la parada esperando un bus porque el que tenía que pasar que me servía no pasa o paso mucho antes....,2,5
34,La verdad está muy buena la app. Lastima la mayoría de los días no te muestra las líneas. Pongo para ver a qué hora pasa el 456 y la mayoría de los días no te muestra cuando viene el bus y los horarios están errados .,0,1
35,"No está apareciendo las paradas , solo los horarios de partida y destino.. Quisiera saber a que se debe ?",1,3
36,Excelente app. Lo a diario para ir ver por donde viene el bus para ir a trabajar. Saludos,2,5
37,La verdad que un desastre esta aplicación antes era bastante útil pero ya ni carga las lineas se nota que la dejaron al abandono y quienes la diseñaron no saben ni programar,0,1
38,"Hace unas semanas que no muestra los horarios de los omnibus cuando se marca un recorrido o se marca una parada. Tampoco los muestra por GPS. Solo muestra los horarios de algunas líneas, únicamente en el horario que se consultan, no permite elegir otras opciónes",0,2
39,"Con la nueva actualización no da en el mapa la llegada y tiempo de los ómnibus queda en standby girando sin que aparezcan los horarios de arribo y por dónde viene el vehiculo ,aparece el mapa pero no indica nada que pasó no sé, esto ocurre con la última actualización !!",0,2
40,"La más completa aplicación de transporte, es de gran ayuda, bien adaptada para un uso sencillo y rápido.",2,5
41,"Desde últimas dos actualizaciónes ya no muestra los buses en tiempo real , con el GPS. Los horarios raramente cumplen. Solo sirve para ver paradas y si pasa líneas por ellas. Una pena que no funcióne como antes y las unidades tengan apagado su GPS.",0,2
42,La idea es muy útil pero lamentablemente la app tiene fallas: a veces muestra errores o no muestra nada. MAL,0,2
43,Últimamente tiene todos los horarios mal decía que iba a pasar un 185 a las 12:45 y 12:52 estoy desde las 12:40 y ya son las 13:09 cuando pasó pero no es la primera vez que pasa lo único que anda medianamente bien es el para verlos en tiempo real después una basura espero que lo arreglen pronto,0,1
44,"Malísima,cada vez más seguido te tira que no hay salidas mientras ves como te pasan los buses en la cara. La única utilidad real es consultar los recorridos y paradas. Pésimo servicio.",0,1
45,"El departamento de San José, tamuy buenaién es parte de la zona metropolitana y no está considerada en la aplicación. Las líneas 227 de Cutcsa y las líneas de COME-Inter, no estan",0,1
46,"Lenta para entregar datos. Le erra a la llegada de los buses por minutos de adelanto y/o atraso. De mañana, antes de las 10 nunca puede mostrar cuándo pasaran los buses en la zona del Montevideo shopping",0,2
47,"Hace semanas anda bastante mal la app, la usaba bastante, pero a veces erran bastante, o hay omnibus que pasan y no marcan como que van a pasar, le falta actualizar con mas frecuencia la app, me parece super util, pero si estuviera actualizada",0,2
48,"Hhorrible se nota que hicieron el programa y nunca más le prestaron atención, horarios mal, buses que no aparecen en el gps, te aparecen buses en tiempo real que no están donde dice el mapa, en resumen un desperdicio de aplicación, no es confiable para nada.",0,1
49,"la verdad que es una vergüenza, para que tanto GPS si no sirve para nada pero luego si exigir que usemos el bozal. La linea 582 es el segundo ómnibus que tomo para ir a trabajar y resulta que es como un fantasma, porque una vez que llega a los 3 minutos en promedio el vehículo que supuestamente estaba a una cuadra nunca aparece, ya van dos veces que me pasa",0,1
50,"Es una app pobre no siempre sincróniza bien el mapa con la linea y se hace MUY COMPLICADO EL ESTABLECER LOS PUNTOS DECORIGEN/DESTINO PARA BUSCAR LINEAS. PERO DESGRACIADAMENTE ES LO UNICO QUE EXISTE Y PERTENECE O ESTA AVALADA POR LA IMM, LO QUE ES UN DESASTRE!!!!!!",0,2
51,"Era buena la app, me servia mucho para ir a trabajar y volver. Pero últimamente no me está funciónando como antes! No carga los bondis ni nada, prácticamente no funcióna",0,2
52,Lamentablemente la app ya no funcióna como amtes...era la mejor pero muchas veces los omnibus vienen en recorrido y la app no los muestra cuando hay otras app no oficiales que si...no es problema de lo que publica la intendencia sino de la app sino otras funciónarían igual que esta.. y muchas veces esta app te muestra un bus en el recorrido y luego desaparece...si el GPS del bus anda mal lo puedo entender con 1 o 2 bus ya de todo imposible y lo peor solo pasa en esta app,0,1
53,"Te marca ómnibus o recorridos que ya no existen o no pasan por donde te indican. Estaría bueno actualizar eso. El 64 ya no va más a plaza independencia y el 140 tampoco pasa más, sin emuy buenaargo en la app siguen estando y te marca supuestos horarios que no son",0,2
54,"ya no deja ver los horarios de paradas y el recorrido que el bus va a haciendo ,esas cosas eran utiles",0,1
55,"Sería muy importante para el usuario poder sincronizar su stm con la app y así podes recargarla,o ver el saldo,etc. Creo que es viable y es algo útil que se necesita.",2,4
56,"Qué sucedió con los horarios intermedios? No necesito saber a qué hora sale y a qué hora llega, necesito el horario de las paradas intermedias más importantes",0,1
57,"Hola, es molesto que cuando se aprete la parada para ver los omnibus en tiempo real te marque como para usar la herramienta de origen y destino. Ojala pudieran separar las funcióned",0,2
58,Me marchaba linda esta aplicación. Pero últimamente los Ómnibus no pasan en la hora que muestra.Seria bueno Actualizarla y aumentar las Flotas en las horas picos! Gracias.,1,3
59,"Desde hace un par de días que no nuestra los omnibus en el mapa, no se si es un problema de la app",1,3
60,"De repente dejaron de aparecer las paradas intermedias, solo aparece salida y destino. Así no sirve para nada.",0,1
61,"En celulares anteriores siempre use esta app sin problemas, ahora la volví a instalar y resulta que ya no deja descargar el mapa para usarlo sin conexión. Que hago si no tengo internet y quiero ver un recorrido o línea?",0,2
62,"ha bajado muchísimo la calidad del servicio. No aparecen los ómnibus con el GPS, o pasa diciendo no hay líneas próximas y si las hay.",0,2
63,"Generalmente funcióna bastante bien, la uso todos los dias y desde ayer está presentando problemas con los horarios, no los carga, por ende de seguir asi ya no me va a ser útil y la voy a descartar",1,3
64,"Es un mamarracho esta aplicación, te pone que el ómnibus pasa en 6 minutos y nunca pasa, le doy una estrella porque no tiene el 0 , desastre, estaba esperando el 109 con destino a Plaza Independencia el que pasa más o menos a las 7:04 de la mañana en la parada de Cno Carrasco y Sta Monica y la aplicación me ponía que faltaban 3 minutos para que pasara , después 6 minutos y al final eran las 7:20 de la mañana y nunca pasó, me tuve que tomar un bus interdepartamental y gastar 58 pesos en boleto.",0,1
65,"Ya desinstale esta app !! Aprendi a esperar el bondi estando en la parada a la hora que pasa todos los dias sin usar esta app !! Dato : si esperan el 192 manga no dependan de esta app , son los un únicos omnibus de montevideo que apagan los gps del mismo !! Todos los 192 lo hacen!! Te das cuenta que vienen cuando los tenes arriba tuyo!",0,1
66,"Buena app pero anda como el c*lo la mayoria del tiempo, si no carga los horarios no carga la ubicación, nefasto",0,1
67,Venía bárbara la app hasta que dejaron solo los horarios de salida y llegada de destino a destino. Encima pila de horarios no coinciden con los reales...,1,3
68,Me da error de sin próximas líneas. Y aparecen ómnibus en movimiento que magicamente desaparecen y que no estaban en camino. Actualizo y cada vez es peor.,0,2
69,Buenísima. Pero los fines de semana no muestra nada apenas aveces los horarios.,2,4
70,Inmejorable limpios da gusto usarlos con mascarilla es una implementación y hay que cumplirla a rajatablas,2,5
71,Exelente! Siempre llego a la parada en hora😁. Muy buena app,2,4
72,"La uso a diario, generalmente bien, a veces el GPS no registra las unidades cercanas, gracias",2,4
73,"Excelente aplicación, hace años la utilizo y nunca falla, corrigieron el problema menciónado, gracias por estar tan atentos a las opiniones de sus usuarios.",2,5
74,"Nunca encuentra líneas, dice que no hay arribos inmediatos, pero te está pasando el bus en la cara...",0,1
75,Es simple y seguro los horarios en las paradas.,2,5
76,Me gusta ya no tengo que estar preguntando en que parada pasa cada bus ni nada la verdad sirve de mucho ojalá se pudiera usar tamuy buenaién sin internet . Al menos para ver el horario de los ómnibus.,2,5
77,"Le falta mostrar el tiempo que tarda el viaje, en eso pierde con las otras, si agregan eso es la mejor",2,4
78,"Es una buena aplicación, pero falla seguido, se bugea y no cargan los datos correspondientes",1,3
79,Dejó de ser útil. Ya no brinda el detalle en tiempo real. Una pena.,2,5
80,Muy buena y práctica app. Además de ser muy presisa,2,5
81,Funcióna pésimo actualmente. No localiza la ubicación. Lenta y se tranca.,0,1
82,👎👎👎 si estan en una parada de bus de noche no consulten este mamarracho por q estaran raaaaato girando por la app antes de encontrar la info . INTENDENCIA SERAS SIEMPRE INUUUUTIL,0,1
83,"Cada vez funcióna peor la aplicación, demora mucho en cargar y aveces no muestra los resultados",0,1
84,"Es buena pero ahora la app no está andando, no cargan los horarios de las paradas",0,2
85,"Hace como un mes que anda hhorrible, no marca los horarios de los ómnibus, nunca hay próximas líneas, en fin hhorrible y deplorable.",0,1
86,Exelente app la verdad es la unica que me funcióno al pie de la letra de verdad la recomiendo Al Maximo ...,2,5
87,Muchas veces las líneas no aparecen aunque estén llegando a la parada.,0,2
88,Super App. Se arregló en 1 día un error! Quedó genial!,2,5
89,"Hola me da el horario de salida del terminal y el horario de llegada a destino,sin los horarios de las paradas",0,1
90,"no coincide horarios con los ómnibus, siempre falla el GPS no recomiendo",0,1
91,"no carga los buses,los horarios no son los correctos,no muestra los gps de los buses",0,1
92,Siempre me ayuda a encontrar lo que quierp y necesito.,2,5
93,falta la posibilidad de enviar comentarios como por ejemplo paradas suspendidas etc,2,4
94,"Era mucho mejorla otra aplicación, sr manejaba muy fácil el ""cómo ir"".",0,2
95,Estuvo buena la app hasta que ahora me dejo de funciónar y me dice sin próximas líneas,1,3
96,Pq no aparecen mas los puntos d paradas al buscar una linea?,2,4
97,ecelente servicio y muy buena información de horarios y lineas,2,5
98,el servicio de curvas es una porquería como siempre. pasan 3 18q juntos y desp demora 20 min. vamos a terminar todos contagiados viajando como vacas.,0,1
99,Estaría genial que se pueda consultar el saldo de la tarjeta en la misma app. Igual muy buena.,2,5
100,no se puede confiar en ella. No te avisa ni la mitad de los ómnibus. Además ya no funcióna la localización por GPS,0,1
101,"No aporta datos, ni ubicaciónes. Cuando los aporta muchas veces son erróneos. No sé puede contar con la info",0,1
102,"Muy conforme con el servicio, con el personal y con las aplicaciónes. gracias",2,5
103,hhorrible ultimamente no conecta nada y ni siquiera estan actulizadas la lineas nuevas ni las paradas,2,4
104,Mal en paso de la arena no coincide ningun horario del L 35,0,1
105,Andaba impecable llego la pandemia y dejó de funciónar!!!no te dice los horarios ni siquiera por donde viene nada,0,1
106,Muy buena app fácil de usar,2,5
107,"Estaba mejor la presentación y la version anterior, la verdad el camuy buenaio que le hicieron no fue bueno.",0,2
108,Excelente herramienta para manejarse en Montevideo.,2,5
109,Últimamente está fallando falta precisión.,1,3
110,después de las 21 horas no se puede ver los coches que vengan a él pasó de la arena hay que corregir,0,2
111,De vez en cuando no aparecen las líneas de ómnibus disponibles.,1,3
112,Útil. Tiene problemas cuando querés usarlo sin ubicación.,1,3
113,"Algunas líneas no aparecen en el mapa, por ejemplo el 329.",0,2
114,"Gracias por esta app, me ayuda a no llegar tarde a todos lados :)",2,5
115,App muy útil. Excelente!,2,5
116,Nisiquiera me muestra las líneas. Lo instalé nuevamente y nada!,0,1
117,muy buena y útil en tiempo real,2,5
118,Es una muy buena aplicación y todos las critican sín saber es muy BUENA,2,5
119,"Es buena para salir con tiempo, pero varias veces dice que no hay líneas",2,4
120,Muy necesaria. Es importante conocer los horarios Nocturnos.,2,4
121,"Uno esperaría que la propia empresa de STM tendría mejor los horarios que una app genérica como Moovit, pero no es así. App de pésima navegación, no es intuitiva y no cumple su cometido.",0,1
122,"Le doy dos estrellas por la última actualización, que después de ella no me anda la app. Antes de eso era la mejor, le daba en el clavo en la hora y en el mapa cuando venía el bus. Pero lamentablemente ahora no me anda, me pone error o que está fuera de servicio",0,2
123,Que pasa que no hay horarios!!!!! Solo salida y llegada!!!!!!!!😕😕😕,0,1
124,Que pasa que no están los horarios por etapas? Con el horario de salida y llegada no hacemos nada eh....,0,2
125,Últimamente no esta funciónando,1,3
126,hay días que no carga nada,0,1
127,La use poco pero brinda buena imformación,2,4
128,"Totalmente en destiempo, sobre todo con Coetc, te pone que el ómnibus pasa en determinados minutos y de la nada desaparece del mapa. Sólo da para fiarse con cutcsa que ya tiene su propia app",0,1
129,De mucho valor para ubicarnos y horarios de los transportes muy responsables.,2,5
130,Me muestra omnibus expresos. Moovit es mejor,1,3
131,"La aplicación es excelente por su utilidad, pero he notado que últimamente, y con bastante frecuencia, no está indicando bien la ubicación de los buses con el GPS, lo que antes funciónaba peroecto. Ahora pasa que estoy en la parada y, luego de demorar más de lo común, me dice ""sin líneas en los próximos minutos"" pero al poquito rato veo venir el mío y algunos más. Antes la app era infalible, pero ahora está fallando en eso. No sé cuál será el problema pero ojalá lo puedan arreglar pronto.",1,3
132,"Buenos dias gente de Matungo. Usoo mucho esta app y la verdad que funcióna muy bien, pero queria hacerlea una sugerencia. Para mi seria un avance mas, que te envie un mensaje indicando cuando el omnibus elegido (que son siempre los mismos y las mismas horas en mi caso) se encuentre a una distancia o tiempo prudencial como para llegar hasta la parada (como otras app de ... ""movilidad"" lo hacen). Saludos.",2,5
133,"buenos dias, el problema no son los horarios, son los omnibus que no los encuentra, ejemplo: veo a 2 paradas un 117 y lo busco en la app me dice que no hay próximas lineas (cuando en realidad hay casi t ómnibus pasando). No solo me paso una vez, me esta pasando muy seguido y a su vez cuando lo pones tarde hasta casi 1 min en cargar los omnibus q van a pasar x esa parada",0,1
134,"Espectacular la App, te da más libertad de decisión. Sabes donde viene el bus si querés te apuras o esperas el siguiente en casa o trabajo y no tienes que estar en la parado por un tiempo largo. Si ves que va a demorar podes ver otras opciónes como triangular con otros ómnibus o tomar otro transporte dependiendo de tus tiempos. El único invonveniente que veo es que algunos ómnibus tienen roto el GPS y no aparecen a tiempo Real, pero no es un problema de la app, igual están los horarios teóric",2,4
135,Debería de mostrar el saldo que tiene cargado la tarjeta,0,1
136,"La app está genial, me camuy buenaio la vida desde que da la ubicación de los ómnibus en tiempo real, la última actualización quedo mejor que antes la interfaz, lo único que noto es que cuando se marcan origen y destino no está dando buenos resultados en las paradas en direcciónctos, los ómnibus que da están bien, pero marca paradas a 5 cuadras cuando hay una justo donde marque, pasa algo parecido con los transbordos.",2,5
137,"Doy 3 estrellas antes de esta nueva actualización dentro de todo te mostraba los bus que venían a esa parada q estabas esperando y los minutos. Con esta nueva no te muestra ni merda se te tranca todo te dice en 10 minutos el bus seguís esperando vez q esos 10 minutos siguen ahí y no te dice en 9, 8, 7, 6, 5 ,4, 3, 2 ,1 minutos y nada tenés q volverla a cerrar la app y volver a marcar de nuevo para ver en cuántos minutos y ahí te das cuenta cuando tenés el bus arriba tuyo un poco más. Mejoras pfi",1,3
138,"Uff, que bueno que esta el re-diseño, ya era hora de que le camuy buenaiaran la interfaz, pero valió totalmente la pena la espera. Dejando de lado el tema visual, la app funcióna correctamente, con algunos fallos menores correspondientes al gps de los omnibus (como que aparecen en el medio del agua), pero por lo demás funcióna de manera correcta, con horarios teóricos y en tiempo real correctos.",2,5
139,"Me encanta la aplicación, pero ya con el tiempo que tiene debería ser casi infalible, de cada 5 días que me tomo el ómnibus para ir a trabajar, al menos 2 dias no me marca que el ómnibus esté viniendo, lo veo venir por la calle y la aplicación no lo pone. Lo tomo todos los dias a las 5:30am aprox. Con la inseguridad que vivimos me ayudó no ser un blanco estático esta aplicación ya que voy a la parada cuando esta llegando, arreglen esto de una vez! Saludos!",1,3
140,"La Última actualización hace muy lenta a la App y muchas veces no dice los ómnibus que vienen a la parada, dice 'Sin próximas líneas.' Yo la uso todos los días y era bastante rápida en dar información, ahora piensa y piensa, y no me da la información en e momento que la preciso. Sea utilizada con wi fi o con datos. Están buenas las ideas de las actualizaciónes pero no está funciónando bien por lo menos a mi. Agradezco tener en cuenta. Saludos. ***Agradezco tu respuesta, pero te vuelvo a comentar: la uso todos los días desde que salió la App porque me es de gran ayuda, pero hace días que no me responde como antes. La uso en los mismos horarios que la usaba antes, antes me respondía y ahora no. Espero puedas aceptar la crítica, la hice porque me parece que es una buena App muy buena herramienta pero en estos momentos no esta funciónando como debería.",0,1
141,PROBLEMAS... Elegir dos destinos para ver opciónes. Tenés que acercar el mapa (lo descubrí luchando largo rato con la app). Si estás en tu casa y querés saber cómo ir de plaza independencia al estadio no podés porque por defecto te pone uno de los dos puntos(destino u origen) dónde estás actualmente GPS. SI HAY UNA FORMA ENTONCES QUE SEA CLARA Y QUE TE DIGAN COMO. adivinando no se puede,1,3
142,"Excelente, de gran ayuda. La nueva versión unifica dos aplicaciónes que tenía anteriormente y las mejora. Muy buena la señalización de las paradas utilizadas y las líneas escogidas. Un único punto de mejora que puede no ser responsabilidad prlpia; más ómnibus no son detectados. Por ejemplo la unidad 53 del 329 en el que viajó ahora. Felicitaciónes por el gran trabajo.",2,5
143,"La app era lo mejor de lo que tengo en el celular, desde hace unas semanas me marca ómnibus en tiempo real que no llegan, aparecen en el mapa y todo, luego se desvanecen, y eso que refresco por las dudas o cierro y abro para serciorarme que no sea mala conexión y no es el caso. Ahora mismo decidí escribir pues entro a buscar líneas en tiempo real y me las marcaba en el mapa como que estaban a unos kilómetros y que demoraba 6 y llegó mucho antes. Por favor arreglalo!",0,2
144,"Muy linda la última actualización para que aparezca publicidad en pantalla pero sigue faltando un botón para actualizar el mapa manualmente una vez selecciónada la parada. Y si, a veces tarda más de 15 segundos en actualizar, ya sea por el 4g, el WiFi del bus que es muy lento o el propio cel, solo es una opción más forzar la actualización ya que cualquier mapa lo trae.",0,1
145,"Es excelente la información que la aplicación puede brindarte para movilizarte en Montevideo. Aunque esta última actualización oculta los puntos guardados en el mapa al momento de consultar el recorrido de un bus, en la anterior no pasaba eso, sería magnífico para mí si esto se mantuviese porque es una forma práctica de saber qué parada queda más cerca del destino ya guardado en el mapa. Gracias por este desarrollo.",2,5
146,No sirve para nada te dice que los ómnibus pasan en 10 min salis y te pasan por enfrente algunos ni siquiera los marca que van a pasar y pasan te querés fijar los horarios y siempre tiene error y no te deja verlos,0,1
147,"Es buena la aplicación. Sería mejor si indicara el tiempo de duración de los viajes o si permitiera buscar líneas por horario de llegada al destino. En general los ómnibus pasan unos 5mins más temprano que lo indicado por la app, hay que tener en cuenta esto para no perder un viaje. Salvo estos puntos débiles la aplicación me resulta muy útil.",2,4
148,"Muy buena idea aunque no es la primera vez que no marca un ómnibus cuando éste si esta en circulación. Ahora, por ejemplo, no marcaba el 156 y de pronto apareció. Le pregunté al chofer si habia problema con el gps y me dijo ""a mi me esta funionando precioso, no se para afuera"" Tamuy buenaién tiene errores. El jueves me marcó una parada fuera de horario. Espere media hora al pedo. Recién marcó como que el 396 venia en menos de 1 minuto, miras en el mapa y esta como a 30 cuadras... Imprimí pantalla...",1,3
149,"Antes de la Actualización que Ustedes hicièon y no el Usuario, funciónaba en tiempo y forma de la mejor manera. Ahora no es confiable porque demora mucho en conectarse a la ubicación en donde se encuentra uno y no marca la ubicación real de donde el Bus viene en su recorrido.!!!",0,1
150,"Desde la última actualización que me dice ""sin próximas líneas, intente en unos momentos "" y no sale de ahí, no sé que le hicieron a la app pero es completamente inútil, para ver un mapa sin mas gracia que esa hay apps de mapas simples,se supone que esta app es para coordinar los recorridos de las distintas líneas de ómnibus, y no lo está haciendo",0,1
151,"Muy util, lastima q ultimamente esta fallando y no me aparece el bus cuando viene lejos. Solo cuando esta muy cerca y ya no me da el tiempo de salir a tomarlo. Estaria bueno que lo camuy buenaien ya que la uso para no esperar el bus en la parada a las 4 de la mañana y com este error ya tengo q salir a esperarlo y nunca pasa en el horario teorico, siempre distinto horario",0,2
152,Muy buena app. Le doy 4 estrellas debido a que reiteradas veces se tranca y no muestra con exactitud el horario real del ómnibus. Recomiendo además ajustar los horarios de referencia en el cuál pasan los ómnibus. Ej: el G hacia la paz tiene muy pocas referencias de horarios x las paradas para los km que recorre. Gracias,2,4
153,"La app es útil, pero en la última actualización solo funcióna si el GPS está encendido. No es necesario si lo que deseo ver son los horarios preestablecidos de la líneas de ómnibus. Eso constituye un problema para quienes como yo preferimos tener el GPS apagado.",1,3
154,"Me gustaba mucho ésta app pero desde la pandemia hay buses que no aparecen en mapa y otros están en la parada sin haber aparecido en la app,aunque los que aparecen realmente es real y el tiempo de llegada es así, agradezco corrijan ese detalle por ejemplo la línea 17 y estaría bueno que agregaran lo...
Opinión completa",0,2
155,Si funciónará siempre estaría genial,0,1
156,"Está buena xo me pasa qué en varias ocasiones me tomé un 192 hasta el estadio y siempre me mostraba que el 329 pasaba en 2min xo no aparecía en el mapa, el 76 rara vez lo muestra, acabo de tomarlo y solo me mostraba el 329 en 25 y el 187, me pasa en Punta Carretas que espero 329, 76 o 191 dice que no hay salidas de ninguna linea y están pasando todas. De las app es la mejor xo tiene ésos baches x lo menos me pasa a mi.",1,3
